Author,Year,Title,Journal,Keywords,Abstract
"Akomo-Okoue, E. F.; Inoue, E.; Adenyo, C.; Hayano, A.; Inoue-Murayama, M.;",2013,Development of microsatellite markers for blue duiker (Cephalophus monticola) using next-generation sequencing and cross-amplification in other duikers,Conservation Genetics Resources,Duiker; Next-generation sequencing; Microsatellite markers; Genetic; analysis; bushmeat; artiodactyls; ecology,"We developed nine microsatellite markers for duikers by next-generation sequencing using a muscle tissue sample of blue duiker (Cephalophus monticola). For blue duikers, the number of alleles ranged from 4 to 14 (mean 9.4), and the observed and expected heterozygosities were 0.333-0.833 (mean 0.716) and 0.625-0.878 (mean 0.817), respectively. Cumulative probability of identity was low (1.5 x 10(-12)), indicating that these markers are enough for individual discrimination. All nine markers were successfully amplified in three other duikers (C. dorsalis, C. ogilbyi and C. sylvicultor), and almost all loci were polymorphic. These markers will be useful for clarifying genetic structure of duikers."
"Akomo-Okoue, E. F.; Inoue, E.; Atteke, C.; Nakashima, Y.; Hongo, S.; Inoue-Murayama, M.; Yamagiwa, J.;",2015,"Noninvasive genetic analysis for assessing the abundance of duiker species among habitats in the tropical forest of Moukalaba, Gabon",Mammal Research,Duiker; Dung count method; Genetic species identification; Distribution; pattern; Tropical forest; Human impact; national-park; udzungwa mountains; rain-forest; long-term; logging; concessions; northern congo; dung decay; bushmeat; wildlife; mammals,"We investigated the relative abundance of four duiker species and the environmental effect including human impacts on their abundance in the forest of Moukalaba, Gabon. We counted and collected fresh faeces from duikers in thirteen 2-km line transects established in different types of vegetation. Genetic species identification showed that blue duiker (Philantomba monticola), Ogilby's duiker (Cephalophus ogilbyi, which might include the sister species Peter's duiker Cephalophus callipygus), bay duiker (Cephalophus dorsalis), and yellow-backed duiker (Cephalophus silvicultor) coexisted. Genetic analyses successfully identified Ogilby's and bay duiker, which are difficult to discriminate using other methods. The blue, Ogilby's, and yellow-backed duikers were found in all transects. The dung abundance of bay duiker was quite low compared to other duiker species. This result suggests the importance of accumulating information regarding the abundance of each duiker species for updating their conservation status. The dung count method with genetic species identification may be useful for this purpose. The dung abundance of Ogilby's duikers and blue duikers was affected by human impacts, while that of yellow-backed duikers was not affected by human impacts. The dung abundance of Ogilby's duikers was lower in young secondary forests, which are regenerating after significant human disturbance. In contrast, generalized liner mixed model showed that the dung abundance of blue duikers was not affected by vegetation type and was lower in transects nearer to the villages, which might be due to past hunting activity. The difference in human impacts among duiker species should be considered for their conservation management."
"Albrechtsen, L.; David, W. M. A.; Paul, J. J.; Ramon, C.; Fa, J. E.;",2007,Faunal loss from bushmeat hunting: empirical evidence and policy implications in Bioko island,Environmental Science & Policy,wild meat; faunal depletion; markets; prices; conservation policy; equatorial-guinea; commodity chain; forest mammals; west-africa; conservation; dynamics; market; exploitation; indonesia; wildlife,
"Albrechtsen, L.; Fa, J. E.; Barry, B.; Macdonald, D. W.;",2005,"Contrasts in availability and consumption of animal protein in Bioko Island, West Africa: the role of bushmeat",Environmental Conservation,animal protein; bushmeat; Equatorial Guinea; household income; livestock; rearing; meat consumption; equatorial-guinea; rural households; conservation; demand; income; congo,"Most protein in sub-Saharan Africa comes from animal sources, a significant proportion of this from wild species or bushmeat. Availability of protein sources to human populations in Africa has not been studied before, perhaps because most population centres are too large for data collection to be practicable. Assessment of the availability and consumption of animal protein within the city of Malabo (c. 60 000 inhabitants), Bioko Island, Equatorial Guinea, included estimation of the annual animal protein supply to the city from daily counts of small livestock meats (goat, pork, lamb, duck, chicken), beef, fish and bushmeat (December 2003-March 2004) in the city's central market and other selling points, and the animal protein consumption per adult male equivalent (AME) derived from a sample of around 200 households to explore influence of household income on consumption of different protein sources. Current animal protein production (bushmeat, small livestock meats, beef and fish) in Bioko, and potential production needed to supply adequate amounts of protein to the people of Malabo in the future were calculated. Annually around 2100 t of meat/fish (460 t of animal protein) was available, of which only 7% was produced on the island. Consumption patterns indicated that larger-sized households purchased more meat, but protein intake per AME fell significantly with household size. Income was positively correlated with volume of small livestock meats consumed per household, but negatively related with bushmeat eaten. Income did not influence beef or fish consumption per household. Although the island is capable of producing more alternative meats, it cannot sustain itself on local production and will therefore continue to be dependent on importing a large proportion of meat (and protein). There is no dependency on bushmeat species, but current rates of wild species use can still have a dramatic impact on wildlife populations on the island if left unabated. Alternative ways of ensuring sufficient protein supply for the Malabo population are crucial for wildlife conservation, and curbing consumption of bushmeat species is of highest conservation priority now."
"Alexander, J. S.; McNamara, J.; Rowcliffe, J. M.; Oppong, J.; Milner-Gulland, E. J.;",2015,The role of bushmeat in a West African agricultural landscape,Oryx,Agriculture; bushmeat; consumption; Ghana; hunting; livelihoods; West; Africa; forest,"There is little information on the changing role of bushmeat hunting in the agricultural areas of West Africa. We assessed the status and role of bushmeat hunting and rural consumption in three communities in Ghana, through household surveys (n=250), and interviews with hunters (n=69), eatery owners (n=18) and bushmeat traders (n=3). Hunting was embedded within dynamic livelihood strategies, with two broad categories of hunters identified: a large group who targeted pests on their own farms using traps, and a smaller group of professional hunters. The professional hunters included a group of young men who hunted with dogs, and another group of older firearm hunters who tended to be members of Hunters' Associations. All professional hunters reported a decline in bushmeat availability and expressed concerns about the viability of hunting as a livelihood. The frequency of consumption of bushmeat increased with distance from the region's main urban centre, Kumasi, but bushmeat was not found to be a major component of the diet in any of the villages. Few men self-identified as hunters, although bushmeat hunting continued to play an important role in the rural economy, primarily for crop protection. Conservation efforts need to consider the full spectrum of hunting behaviours. Specific measures should target forest-based hunters, who are more likely to damage forest ecosystems than crop pest hunters but also show more concern for the sustainability of hunting, and commitment to hunting as an institution."
"Allebone-Webb, S. M.; Kumpel, N. F.; Rist, J.; Cowlishaw, G.; Rowcliffe, J. M.; Milner-Gulland, E. J.;",2011,Use of Market Data to Assess Bushmeat Hunting Sustainability in Equatorial Guinea,Conservation Biology,Africa; Bata; commodity chain; hunter; Rio Muni; snaring; trader; wild; meat; bringing home; congo basin; impacts; indonesia; profiles; sulawesi; cameroon; system; bacon; roads,"Finding an adequate measure of hunting sustainability for tropical forests has proved difficult. Many researchers have used urban bushmeat market surveys as indicators of hunting volumes and composition, but no analysis has been done of the reliability of market data in reflecting village offtake. We used data from urban markets and the villages that supply these markets to examine changes in the volume and composition of traded bushmeat between the village and the market (trade filters) in Equatorial Guinea. We collected data with market surveys and hunter offtake diaries. The trade filters varied depending on village remoteness and the monopoly power of traders. In a village with limited market access, species that maximized trader profits were most likely to be traded. In a village with greater market access, species for which hunters gained the greatest income per carcass were more likely to be traded. The probability of particular species being sold to market also depended on the capture method and season. Larger, more vulnerable species were more likely to be supplied from less-accessible catchments, whereas there was no effect of forest cover or human population density on probability of being sold. This suggests that the composition of bushmeat offtake in an area may be driven more by urban demand than the geographic characteristics of that area. In one market, traders may have reached the limit of their geographical exploitation range, and hunting pressure within that range may be increasing. Our results demonstrate that it is possible to model the trade filters that bias market data, which opens the way to developing more robust market-based sustainability indices for the bushmeat trade."
"Altrichter, M.;",2005,The sustainability of subsistence hunting of peccaries in the Argentine Chaco,Biological Conservation,Argentina; Chaco; peccaries; sustainability; Tayassuidae; catagonus-wagneri; collared peccaries; amazonian forests; tayassu-tajacu; wildlife management; paraguayan-chaco; ranging behavior; peruvian amazon; atlantic forest; population,"Subsistence hunting practiced by poor rural and indigenous people in Latin America differentially affects the three species of peccaries (Artiodactyla: Tayassuidae). Sustainability of subsistence hunting of peccaries in the Argentine semi-arid Chaco, where the three species coexist, was unknown. My objectives were to determine the importance of peccaries for the local people, describe the current pattern of hunting and its impact on the three species of peccary and identify the factors that affect hunting sustainability. I found that many rural (70%) and village people (40%) consumed peccaries. White-lipped and chacoan peccaries were more susceptible to overharvesting than collared peccary. Current rates of hunting of white-lipped and chacoan peccaries are likely not sustainable because: (a) density of both species was between two to three times higher inside a protected area than outside; (b) populations have declined near larger villages and in older settlements; (c) herds sizes were small in comparison with other regions; (d) large number of juveniles less than one year old were harvested; (e) hunting did not discriminate based on sex or reproductive status and (f) The unified harvest model indicated unsustainable harvest because more than 40% of the reproductive production was taken and populations densities were less than 60% carrying capacities. In contrast, harvest of collared peccary seems sustainable at the current rates of hunting by rural peasants. Other threats such as forest exploitation, however, are accelerating, and are likely to reduce sustainability. (c) 2005 Elsevier Ltd. All rights reserved."
"Altrichter, M.; Basurto, X.;",2008,Effects of Land Privatisation on the Use of Common-pool Resources of Varying Mobility in the Argentine Chaco,Conservation and Society,,"During the last few decades there has been a strong tendency towards privatisation of land tenure to in­crease protection and sustainable use of natural resources. We assess this approach in the context of land privatisation in a dry region of the Argentine Chaco where low income peasants depend on multiple common-pool resources (CPRs) to survive and where most recently privatisation of land tenure has also included large absentee landowners. We hypothesise that the results of such policies depend in part on the mobility of the resources in question, and compare the harvesting practices of CPRs of varied mobil­ity before and after the conversion of land to private property to assess the effects of privatisation. We found that privatisation by low income peasants increased control of access to stationary and low mobil­ity CPRs but highly mobile species continued being used as open access and over-exploited. In contrast, the later privatisation of land by large absentee landowners is likely to pose serious threats to the conser­vation of the ecosystem in general, and to the ability of low income peasants to maintain their livelihoods in this region."
"Altrichter, M.; Boaglio, G. I.;",2004,Distribution and relative abundance of peccaries in the Argentine Chaco: associations with human factors,Biological Conservation,Chaco; subsistence hunting; peccaries; Tayassuidae; tayassu-pecari; collared peccaries; catagonus-wagneri; ranging behavior; gran-chaco; management; patterns; forests; tajacu; amazon,"In the Argentine Chaco, the three species of peccaries (Artiodactyla) are likely affected by habitat destruction and hunting, yet basic information on peccary distribution and status in this region is poorly known. This study identifies human factors associated with relative abundance and distribution of each species. Estimation of relative abundance was based on interviews with local hunters, and variables potentially related to distribution and relative abundance of peccaries were estimated for 153 circular sample sites of 10 km diameter in the Argentine Chaco. Peccaries were found in sites of high forest cover, low human density, far from towns and with low density of roads. After accounting for forest cover and other variables, number of settlements was identified as the main variable negatively associated with relative abundance of the three species, which may be a result of local hunting. Density of roads was also negatively associated with presence of chacoan peccaries. Collared peccary seems to be the least susceptible to human perturbations. It was the most widely distributed and found in a wider range of conditions than the other species. Chacoan peccary was relatively rare. Because colonization and development programs are increasing in the region, areas still uninhabited should be protected, construction of roads controlled, and hunting managed. (C) 2003 Elsevier Ltd. All rights reserved."
"Altrichter, Mariana;",2008,Assessing Potential for Community-based Management of Peccaries through Common Pool Resource Theory in the Rural Area of the Argentine Chaco,AMBIO: A Journal of the Human Environment,,"Community-based management (CBM) has been recognized as an appropriate approach to conservation, assuming that local communities have higher stakes than the state in their natural resources and have better knowledge of local resources and, therefore, can manage them more efficiently. However, the implementation of CBM has not always been successful. The objective of this research was to assess the potential for the implementation of a governmental proposal for community-based management of peccaries (Tayassuidae) in the Impenetrable northern Argentine, through the examination of the reasons why arrangements to avoid overexploitation have not evolved in this region. I used the theory of common pool resources (CPRs) as a framework for this analysis. CPRs theory explains the conditions under which appropriators of a resource are likely to engage in devising and altering governing arrangements and the conditions under which such arrangements are likely to succeed. Fieldwork was conducted between June 2000 and August 2003 using a mixed methods approach. It was found that most of the condition of the resource and users identified by the CPR theory as associated with an increased likelihood of successful management of natural resources are absent or scarcely developed in the Impenetrable. Thus, the situation in the Impenetrable does not seem appropriate for the implementation of CBM of peccaries. It is first necessary to invest in training and development of local institutions' capacities and social capital. It is also important to increase the flow of relevant information, which will enable institutions to be effective, responsible, and accountable to the community. For the moment, a more appropriate approach will have to include a mixture of protectionism and comanagement of collared peccaries while the propitious conditions for a complete local management of the resource are developed."
"Alvard, M. S.;",1994,CONSERVATION BY NATIVE PEOPLES - PREY CHOICE IN A DEPLETED HABITAT,Human Nature-an Interdisciplinary Biosocial Perspective,subsistence hunting; conservation; foraging theory; amazonia; peru; prey; choice; group selection; ecology,"Native peoples have often been portrayed as natural conservationists, living a ''balanced'' existence with nature. it is argued that this perspective is a result of an imprecise operational definition of conservation. Conservation is defined here in contrast to the predictions of foraging theory, which assumes that foragers will behave to maximize their short-term harvesting rate. A behavior is deemed conservation when a short-term cost is paid by the resource harvester in exchange for long-term benefits in the form of sustainable harvests. An example of the usefulness of such an operational definition is presented using data on patch and prey choice decisions of a group of subsistence hunters, the Piro of Amazonian Peru. Results indicate that the area around the Piro village is depleted of prey, and that hunters allocate more time to patches where return rates are highest. This response is consistent with both a conservation strategy and foraging theory. Contrary to the expectation of the conservation strategy, however, hunters do not restrain from pursing opportunistically encountered prey in the depleted areas. The implications for conservation policy are briefly discussed."
"Alvard, M. S.;",1998,Evolutionary ecology and resource conservation,Evolutionary Anthropology,evolutionary ecology; conservation; foraging; hunting; discounting; territoriality; neotropical forest mammals; optimal foraging theory; behavioral ecology; prey choice; optimization theory; ituri forest; foragers; food; population; societies,"Recent field work has shown that, contrary to commonly held beliefs, subsistence hunters do not conserve prey resources. Evolutionary ecologists have approached this problem by using foraging theory to show that subsistence hunters prefer short-term returns over the potential long-term returns generated by resource conservation. An important reason for this outcome is that the resources exploited by subsistence hunters are often open-access, which means that collective-action problems can ensue. Ownership is critical for conservation to pay, but even if resources are privately owned high opportunity costs can minimize the long-term benefits of restraint. Because the benefits of conservation accrue in the future, the benefits must be discounted. This is because future benefits may not be realized for a variety of reasons. Recent efforts to understand evolved human time preference suggest an evolved discount rate between 2% and 6% annually, depending on many factors. If the growth rate of a potentially conserved prey population is less than the discount rate, the long-term benefits of conservation will fall short of the short-term benefits of exploitation."
"Alvard, M. S.;",1993,TESTING THE ECOLOGICALLY NOBLE SAVAGE HYPOTHESIS - INTERSPECIFIC PREY CHOICE BY PIRO HUNTERS OF AMAZONIAN PERU,Human Ecology,hunting; conservation; foraging theory; amazonia; peru; natural increase; intrinsic rate; mammals; gatherers,"Native peoples have often been portrayed as natural conservationists, living in ''harmony'' with their environment. It is argued that this perspective is a result of an imprecise definition of conservation that emphasizes effects rather than actual behavior. Using foraging theory as a contrast, an operational definition of conservation is offered. Foraging theory assumes that foragers will behave to maximize their short-term harvesting rate. Hunting decisions that are costly in terms of short-term harvest rate maximization, yet increase the sustainability of the harvest are deemed conservation. Using this definition, alternative hypotheses are tested using data on the inter-specific prey choice decisions of a group of subsistence hunters, the Piro of Amazonian Peru. Results indicate that hunters do not show any restraint from harvesting species identified as vulnerable to over-hunting and local extinction. Decisions are made that are consistent with predictions of foraging theory."
"Alvard, M. S.;",2000,"The potential for sustainable harvests by traditional Wana hunters in Morowali nature reserve, Central Sulawesi, Indonesia",Human Organization,human ecology; hunting; sustainable use; Wana; Indonesia; neotropical forest mammals; population-density; body size; resources; conservation; bushmeat; game; diet,"Conflicts arise between subsistence hunters and those who wish to conserve the animals they hunt. Solutions require measures of sustainability. Data are presented on the sustainability for the Wana hunters living in the highlands of Central Sulawesi, Indonesia. Pigs (Sus celebensis) and dwarf buffalo (Bubalus spp.) account for 58 percent and 40 percent of the large game harvest by weight. Primates (Macaca tonkeana) are occasionally killed. Data suggest pig hunting is sustainable, primates may have been overhunted in the past, and that dwarf buffalo are vulnerable. Using GPS, the area encompassing all of fields, traps, and house locations for the sample of 153 Wana was measured to be only 18.1 km(2). To sustain their current harvest of pigs, however, the Wana need access to at least 290km(2) of catchment. Their harvest of 0.30 pigs per person per year can be sustained if the Wana population density is no greater than 0.53 persons per km(2). Pigs are the most sustainable of the Wana's prey options. Removing primates from the Wana's diet would have a negligible nutritional effect. Persuading Wana hunters not to pursue dwarf buffalo will be the most difficult challenge for Morowali's managers."
"Alvard, M. S.; Robinson, J. G.; Redford, K. H.; Kaplan, H.;",1997,The sustainability of subsistence hunting in the neotropics,Conservation Biology,prey choice; game,"Hunting is an important component of native subsistence strategies in Amazonia. It is also a serious threat to biodiversity in some areas. We present data on the faunal harvests of two native Neotropical subsistence hunting peoples, Machiguenga bow-hunters and Piro shotgun hunters of Peru. The rate of annual harvest per square kilometer of catchment is estimated and compared to rates of sustainable harvest calculated by Robinson and Redford (1991). We used indicators of prey abundance to test for the depletion of species that hunters killed in numbers greater than what the model predicts to be sustainable. As predicted, we found the strongest evidence for local depletion of the large primates at the Piro site. The woolly monkey (Lagothrix lagothricha) harvest at the Machiguenga village and the deer (Mazama americana) and collared peccary (Tayassu tajacu) harvests at both sites were not predicted to be unsustainable and we found no evidence for depletion. Machiguenga bow hunters killed spider monkeys (Ateles paniscus) in quantities that were slightly above what the model predicted to be sustainable, yet we found no evidence for depletion. Differential species vulnerability, catchment size, and consumer population size could be important factors in determining sustainability."
"Alvard, M.;",1995,INTRASPECIFIC PREY CHOICE BY AMAZONIAN HUNTERS,Current Anthropology,spider monkeys; sex-ratio; forest; conservation; america; increase; patterns; biology; peru,"This paper tests the idea that subsistence hunters use selective intraspecific prey choice to increase the sustainability of their long-term harvest-in other words, to conserve. It is suggested that much of what has been considered conservation by native peoples is probably epiphenomenal. The misidentification of apparent conservation as genuine is a result of the focus on sustained harvests rather than on behaviors that not only aim at increasing the sustainability of the harvest in the long term but also are costly in the short term. Optimal foraging models are here used to generate alternative predictions to those of conservation. Data on the intraspecific prey choice of the Piro, subsistence hunters of the Peruvian Neotropics, indicate that they do not selectively choose sex and age types that minimize the impact on prey populations. Rather, their decisions are more closely predicted by optimal foraging theory. Evolutionary models do not, however, rule out conservation as a strategy for resource acquisition, and productive research may well follow from an extension of the logic and the rigorous methodology of evolutionary ecology to the identification of true conservation and the contexts in which it is an adaptive strategy."
"Alves, R. R. N.; Feijo, A.; Barboza, R. R. D.; Souto, W. M. S.; Fernandes-Ferreira, H.; Cordeiro-Estrela, P.; Langguth, A.;",2016,Game mammals of the Caatinga biome,Ethnobiology and Conservation,Animal uses; Bushmeat; Ethnozoology; Hunting; Medicinal animals; animal-derived remedies; jaguars panthera-onca; semiarid region; northeastern brazil; complementary medicine; wildlife conservation; hunting practices; forest fragments; giant anteaters; protected areas,"Mammals stand out among the main game animals of the world, being exploited by human beings for different ends, and being important for the subsistence of several communities. In semiarid environments, as in the Brazilian Caatinga biome, wild mammals have been exploited by the local human population, including endangered species. In this scenario, beyond biological research of the exploited animals, ethnozoological studies are important for supporting plans for the sustainable management and conservation strategies for the mammalian fauna of the semiarid landscape. This study aims to contribute to new research into the ethnomammalogy of this specific region. It provides a catalogue of the mammals and their ethnozoological importance, including a brief characterization of game mammals of the morphoclimatic domain of the Caatinga. The results show that at least 41 species of wild mammals interact with the population that lives in the semiarid region, as sources of products that can be used for the following purposes: food (31 species), medicinal (38 species), ornamental or decorative purposes (23 species), in magical/religious practices (31 species), and as pets (24 species). Twenty-five species are hunted because of concerns over personal safety or predation on livestock and pests. Among the recorded mammals, 13 (31.7%) are listed in some threatened category (Critically endangered, Endangered or Vulnerable). Hunting is one of the main factors contributing to this situation, which provides evidence that conservation strategies should consider the associated human needs, integrating cultural aspects of the local populations, and ecological aspects associated with the biodiversity of the region."
"Alves, R. R. N.; Vieira, K. S.; Santana, G. G.; Vieira, W. L. S.; Almeida, W. O.; Souto, W. M. S.; Montenegro, Pfgp; Pezzuti, J. C. B.;",2012,A review on human attitudes towards reptiles in Brazil,Environmental Monitoring and Assessment,Conservation; Ethnozoology; Ethnoherpetology; Wildlife use; traditional folk medicine; northeast brazil; ne brazil; fishing; communities; marine turtles; iguana-iguana; costa-rica; rio-negro; conservation; animals,"For many millennia humans and reptiles have interacted, but the attitude of humans towards these animals has depended on culture, environment, and personal experience. At least 719 reptile species are known to occur in Brazil and about 11% of this fauna has been exploited for many different purposes, including bushmeat, leather, ornamental and magic/religious uses, and as folk medicines. Brazil can therefore serve as an interesting case study for better understanding reptile use by human societies, and the present paper catalogues some of the reptile species being used in Brazil and discusses implications for their conservation. A literature review indicated that 81 reptile species are culturally important in this country, with 47 (58%) species having multiple uses, 54 being used for medicinal purposes, 38 as food, 28 for ornamental or decorative purposes, 20 used in magic/religious practices, 18 as pets, and 40 are commonly killed when they come into contact with humans. Regarding their conservation status, 30 (37.5%) are included on State's Red List, Brazilian Red List or the IUCN Red List. There are many forms of interaction between reptiles and humans in Brazil-although most of them are quite negative in terms of wildlife conservation-which reinforces the importance of understanding such uses and interactions in the context of protecting reptiles in Brazil. A better understanding of the cultural, social, and traditional roles of these reptiles is fundamental to establishing management plans for their sustainable use."
"Amador, R.; Casanova, C.; Lee, P. C.;",2011,"Ethnic Speeches on Non-Human Primate Bushmeat at Lagoas de Cufada Natural Park (LCNP), Guinea-Bissau",Folia Primatologica,Bushmeat; Hunting habits; Non-human primates; Balanta,
"Anadu, P. A.; Elamah, P. O.; Oates, J. F.;",1988,THE BUSHMEAT TRADE IN SOUTHWESTERN NIGERIA - A CASE-STUDY,Human Ecology,,
